is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,1,0,0,0,1,0,0,0,1,0,0,0,3,24.88
0,0,0,0,0,1,0,0,0,1,1,0,0,3,21.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,11.0
0,0,1,0,0,1,1,0,0,0,0,0,0,3,19.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,20.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,39.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,12.5
0,0,1,0,0,1,0,0,0,1,0,0,0,4,24.0
0,0,0,0,0,1,0,0,0,1,0,0,0,4,22.0
0,0,0,0,0,1,0,0,0,0,0,0,0,3,20.0
0,1,0,0,0,1,0,0,1,0,0,0,0,3,35.0
0,0,0,0,0,1,0,1,0,0,0,0,1,3,25.35
0,1,0,0,0,1,0,0,1,0,0,0,1,3,49.99
0,0,0,1,0,0,0,0,1,0,0,0,1,3,106.25
0,0,1,0,0,1,0,0,0,1,0,0,0,3,24.99
1,0,0,0,0,1,0,0,0,1,0,0,0,3,39.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,30.0
0,0,0,0,0,1,0,1,0,0,0,0,0,3,59.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,59.95
0,0,1,0,0,1,0,0,0,1,0,0,0,3,22.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,39.91
0,0,0,0,0,1,0,0,0,1,0,0,0,3,50.0
0,0,1,0,0,1,0,0,1,0,0,0,0,3,19.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,22.46
0,0,0,0,0,1,0,0,1,0,0,0,1,3,15.0
0,0,0,1,0,1,0,0,0,1,0,0,0,3,175.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,25.55
0,0,0,0,0,1,0,0,1,0,0,0,0,3,19.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,20.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,19.99
0,0,0,1,0,1,0,0,1,0,0,0,0,3,40.61
0,1,0,0,0,1,0,1,0,0,0,0,1,3,79.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,29.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,28.95
0,1,0,0,0,1,0,0,1,0,0,0,0,3,29.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,32.35
0,0,0,0,0,1,0,0,0,1,0,0,0,3,37.25
0,1,0,0,0,1,0,0,0,1,0,0,1,3,18.99
0,0,0,0,0,1,0,0,0,1,0,0,1,4,64.39
0,0,0,0,0,1,0,0,0,1,0,0,1,3,39.99
0,0,0,1,0,1,0,0,1,0,0,0,1,3,150.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,27.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,30.02
0,0,0,0,0,1,0,0,0,0,0,0,0,3,85.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,49.99
0,0,0,0,0,1,0,0,0,1,0,0,0,4,125.0
0,0,1,0,0,1,0,0,1,0,0,0,0,3,31.99
0,0,0,0,1,1,0,0,0,1,0,0,0,3,51.0
0,0,0,1,0,1,0,0,1,0,0,0,1,3,150.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,23.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,17.49
1,0,0,1,0,1,0,0,1,0,0,0,1,3,145.5
0,0,0,0,0,1,0,0,1,0,0,0,0,3,25.0
0,0,0,0,0,1,0,0,1,0,1,0,0,3,12.0
0,0,0,0,0,1,0,0,0,1,0,0,0,4,19.99
0,0,0,0,0,1,0,0,1,0,0,0,1,3,67.99
0,0,0,1,0,1,0,0,0,1,0,0,1,3,110.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,24.99
0,0,0,0,1,1,0,0,0,1,0,0,0,3,45.0
0,1,1,0,0,1,0,0,0,1,0,0,0,3,34.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,19.97
0,0,0,0,1,1,0,1,0,0,0,0,0,3,59.99
0,0,0,1,1,1,0,0,1,0,0,0,0,3,75.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,24.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,24.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,24.99
0,0,1,0,0,1,0,0,1,0,0,0,0,3,72.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,60.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,10.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,60.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,17.5
0,0,0,0,0,1,0,0,1,0,0,0,0,3,28.98
0,0,0,0,0,1,0,0,0,1,1,0,0,3,13.72
0,0,0,0,0,1,0,0,0,1,0,0,0,3,53.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,16.86
0,0,0,0,0,1,0,0,0,1,0,0,1,3,21.99
0,0,0,0,0,1,0,0,0,1,0,0,0,4,40.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,13.0
