title,sold_price,date_sold,condition,size,brand,platform
Harley Davidson Vintage T Shirt Albuquerque Size 3x Made In USA,15.0,2026-04-20,Pre-Owned,3XL,harley,ebay
Vintage 90s I’m Shy But I’ve Got A Big Dick Harley Davidson Lrg Tall T Shirt,99.99,2026-04-20,Pre-Owned,,harley,ebay
Vintage Motorcycle Men’s Tank Top All HD Drags Size 2XL,29.75,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson Shirt Mens XLarge Black Motorcycle Graphic Pocket Tee,24.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 1995 Harley Davidson Pocket T Shirt Steel Chattanooga Tennessee 1995 XL,19.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens Large Black Bangkok Thailand Graphic Tee,39.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage 1996 Harley Davidson Outpost Pueblo Colorado Mens Small Stratman Eagle,22.99,2026-04-20,Pre-Owned,S,harley,ebay
Harley-Davidson Y2K Vintage Motorcycle Long Sleeve T-Shirt,70.0,2026-04-20,Pre-Owned,XL,harley,ebay
VINTAGE Harley Davidson Shirt Mens Medium Black Skull Biker Arizona Faded Y2K,29.7,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 1998 Harley Davidson Pocket T-Shirt Men's Medium Lisle Illinois,17.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 2002 Y2K Harley Davidson Cut Off T-shirt Men's 2XL Blue Sleeveless Biker,22.5,2026-04-20,Pre-Owned,2XL,harley,ebay
VIntage 1999 Harley Davidson Dudley Perkins San Fran T-Shirt Long Sleeve XL,33.26,2026-04-20,Pre-Owned,XL,harley,ebay
J8 VTG Harley Davidson Motorcycles USA 1 - T Shirt 4XL Black Gray Cotton India,44.0,2026-04-20,Pre-Owned,,harley,ebay
Vintage 90s Harley Davidson Eagle Graphic About to Develop Attitude Shirt Sz XL,70.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Y2K Harley Davidson Flaming Eagle Flag Las Vegas Brown T Shirt Size XL,27.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Men’s 2XL Kansas City Missouri Worth T Shirt,29.0,2026-04-17,Pre-Owned,2XL,harley,ebay
VTG Y2K Harley-Davidson Jester Clown T-Shirt Mens L Black Distressed Grunge,27.07,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson The Beginning Of A Tradition Burlington NJ 1986 Medium,44.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 90s Harley Davidson Tazmanian Devil T-Shirt Mens Large Looney Tunes Taz,30.0,2026-04-20,Pre-Owned,L,harley,ebay
Harley Davidson Wolf AOP Vintage Reprint T-shirt Size Large Single Stitch,59.0,2026-04-14,New (Other),L,harley,ebay
Harley Davidson Mix Shirt Bundle Size Med & Lrg Lot Of 8 Graphic VTG Y2K Modern,70.0,2026-04-20,Pre-Owned,M,harley,ebay
Vintage Harley Davidson Italy Chapter Graphic T-Shirt Men’s Size XL Rare HTF,18.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Y2K Harley Davidson Motorcycles Black Biker Tee Shirt Size 2XL,24.99,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage 1987 Harley Davidson 3D Emblem Party Animal Hog Tee Size S,100.0,2026-04-20,Pre-Owned,S,harley,ebay
Vintage 80s Harley Davidson SMOKE SIGNALS Whiskey T-Shirt SINGLE STITCH SIZE L,175.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Shirt Men's XL Black Eagle Graphic T-Shirt 90s,24.88,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Motorcycle Biker T Shirt Gray El Paso Texas Barnett XL,21.0,2026-04-20,Pre-Owned,XL,harley,ebay
VTG Harley Davidson Men's Custom Gas Tank Graphic Biker T-Shirt Made in USA 2XL,11.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Men’s Small Green 2000s Motorcycles USA Biker Tee,19.99,2026-04-20,Pre-Owned,S,harley,ebay
VTG- Harley-Davidson Pocket T-Shirt Short Sleeve 2004 Greenville SC Men sz XL,20.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens 2XL Black Eagle Orlando Dick Farmers USA 90s,39.99,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage 2000s Las Vegas Wolf Eagle Harley Davidson Biker Tee XXL,12.5,2026-04-20,Pre-Owned,2XL,harley,ebay
Lot Of 6 VTG 90's 00’s DISTRESSED T-Shirts Men's Thrashed USA Small Medium FLAWS,23.99,2026-04-20,"Very Worn, Flaws Throughout, See Pics, Stains and Rips",,harley,ebay
Vintage 2006 Harley Davidson Graphic Print Myrtle Beach Shirt Men Sz Med,9.0,2026-04-20,Pre-Owned,M,harley,ebay
4 Piece Vintage T Shirt Bundle,60.0,2026-04-20,Pre-Owned,XL,harley,ebay
New VTG Smaltz's Chester County Harley-Davidson Shirt X Large Black Y2K XL,24.0,2026-04-20,New (Other),XL,harley,ebay
Vintage Harley-Davidson Shirt Mens XL Black Pretoria South Africa Wings USA,22.0,2026-04-20,New (Other),XL,harley,ebay
Vtg Pre-owned Harley T-shirt Red Muskegon MI 3XL 2013,20.0,2026-04-20,Pre-Owned,,harley,ebay
Vintage 90s Harley Davidson Biker Tee Size Large,35.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage REPRINT Harley Davidson Chrome Sweet Chrome Long sleeve Flame T Shirt XL,59.0,2026-04-20,New (Other),XL,harley,ebay
Vintage 2001 Kerusso Jesus Biker Tee M Guardian Angels Psalm 91:11 Anvil,25.35,2026-04-20,Pre-Owned,M,harley,ebay
Vtg 90s 1999 Harley Davidson Midnight Rider Wolf Purple Flame T-Shirt Size L,49.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintag Harley Davidson 1992 3-D emblem Wolf graphic USA men’s large,106.25,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Y2k Harley Davidson Paris Bastille France Graphic Tee XL Double Sided,24.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 80s Harley Davidson Regina Sask Canada Eagle and Canadian Flag Shirt,39.99,2026-04-20,Pre-Owned,XL,harley,ebay
vintage sioux city native americans x cowboys zip it tee size large,30.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Lot Of 14 Vintage T-shirt,250.0,2026-04-20,Pre-Owned,XL,harley,ebay
VTG 80’s Harley-Davidson Purple Eagle Sweatshirt Made In USA Sleeve Hits Rare,59.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage Jesus Heavenly Devoted Son Of Christ Harley Davidson Spin Black Mens XL,59.95,2026-04-20,Pre-Owned,XL,harley,ebay
Vtg Y2K Harley Davidson Pueblo CO Outpost Biker T-Shirt Size XL Brown Faded,22.0,2026-04-20,Pre-Owned,XL,harley,ebay
VTG Single Stitch Harley Davidson Taku Alaska T-Shirt Men’s XL 2007 Made in USA,9.75,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Men XL Blue Thermal Waffle Kint Fire Flames Faded,39.91,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson t shirt XL Southern Nevada Las Vegas Southwest,50.0,2026-04-20,Pre-Owned,XL,harley,ebay
"Y2K Harley Davidson Graphic Tshirt Sevilla, Spain White Large Dbl Sided VTG",19.99,2026-04-20,Pre-Owned,L,harley,ebay
VTG Harley-Davidson Sleeveless Tank Mens XL White Think Ink Cartersville GA Y2K,22.46,2026-04-20,Pre-Owned,XL,harley,ebay
"Vintage 2004 Harley Davidson Too Hot Fire Eagle, Grand Rapids, MI, Faded Black L",15.0,2026-04-20,Pre-Owned,L,harley,ebay
"Harley Davidson Men's T-shirts lot of 5, size XXL large, early/mid 2000's VTG",37.25,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson Shirt Sz XL Eagle 3D Emblem 19 90 Biker Tee Barnett,175.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 90s Harley-Davidson XL T-Shirt Black Pocket Eagle Graphic Denney’s 20818,25.55,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Outpost Pueblo Colorado Mens L Made In USA Pocket Tshirt,19.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Motorcycles Biker T Shirt Size Large,20.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley-Davidson T-Shirt Black w/ Right Sleeve print San Diego.,19.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage REPRINT Harley Davidson Spider Web Longsleeve Tee Shirt XL Travis Scott,59.0,2026-04-20,New (Other),XL,harley,ebay
Vtg 00s Harley Davidson 3D Emblem Hog Power T-Shirt VF Imagewear Made in USA L,40.61,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Bike Week Gator Distressed Faded Long Sleeve T-Shirt XL,18.0,2026-04-19,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens Medium Black 1990 America Starts Here 90s,79.99,2026-04-19,Pre-Owned,M,harley,ebay
RARE Vintage Harley Davidson T-shirt - Patriotic #1 -Size Large -see description,29.99,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Y2K Harley Davidson Flames Long Sleeve T-Shirt XXL Black Biker USA,28.95,2026-04-19,Pre-Owned,2XL,harley,ebay
Lot of 10 Harley Davidson and Biker T-Shirts Bundle Various Sizes Y2K Vintage,99.99,2026-04-19,Pre-Owned,,harley,ebay
Vintage 90s Harley Davidson Flames Phoenix Eagle Graphic T-Shirt Sz L Mexico,29.99,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Shirt Mens Large Black 90s Motorcycle Faded Eagle USA,32.35,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Harley-Davidson Looney Tunes Biker T-Shirt Men's XL Coyote Marvin Taz,37.25,2026-04-19,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens XL Gray Graphic Cancun Mexico 1997 Biker 90s,18.99,2026-04-19,Pre-Owned,XL,harley,ebay
Vtg RARE 1991 Harley Davidson Yellow 3/4 Sleeve Shirt Deadstock Sz XXL Nwot,64.39,2026-04-19,New (Other),2XL,harley,ebay
Vintage Harley-Davidson Motorcycle Roswell New Mexico Men's Shirt Alien 2XL 2006,39.99,2026-04-19,Pre-Owned,2XL,harley,ebay
Harley-Davidson 1987 Vintage 3D Emblem T-Shirt American Legend,150.0,2026-04-19,Pre-Owned,L,harley,ebay
Vtg Harley Davidson Manchester Live Free or Die Tee XL Big Logo Charcoal Fade,27.0,2026-04-19,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Mens 2XL Black Flames Biker Motorcycle Long Sleeve,30.02,2026-04-19,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson 3XL Thermal Flame Shirt Black Waffle Made USA 90's Nice,85.99,2026-04-19,Pre-Owned,,harley,ebay
Vintage Harley Davidson Tshirt Mens Large Riding Biker Screaming Eagle Born Wild,49.99,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Bike Week 96 Iron Horse Saloon Skeleton Harley Scrapyard XL LS T-Shirt,125.0,2026-04-19,New (Other),XL,harley,ebay
VTG Y2K Laidlaw's Harley Davidson Mens Large T-Shirt Baldwin Park CA Flame,31.99,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Single Stitch Screamin Eagle 90’s T-shirt Size XL,51.0,2026-04-19,Pre-Owned,XL,harley,ebay
Harley-Davidson 1987 Vintage 3D Emblem T-Shirt American Legend,150.0,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Snake & Eagle T-Shirt. Size XL Black,23.0,2026-04-19,Pre-Owned,XL,harley,ebay
Harley-Davidson Built To Last Pinup Girl Wrench Graphic T-Shirt Blue Mens XL VTG,17.49,2026-04-19,Pre-Owned,XL,harley,ebay
Vintage 1988 Harley Davidson 3D Emblem T Shirt L 80s Panhead Fever,145.5,2026-04-19,Pre-Owned,L,harley,ebay
"Vintage 80's Harley Davidson American Dream Road Rebel, H-D of Glendale (RARE)",25.0,2026-04-19,Pre-Owned,L,harley,ebay
Harley Davidson T-Shirt Large Black Daytona Beach Fork It Over Embroidered VTG,12.0,2026-04-19,Pre-Owned,L,harley,ebay
VTG Harley Davidson American History Black T shirt Mens XL Chicago IL,19.99,2026-04-19,New (Other),XL,harley,ebay
Vintage Harley Davidson 1996 Tee “If You Want To Blend In Take The Bus” (Large),67.99,2026-04-19,Pre-Owned,L,harley,ebay
Vintage Wholesale T Shirt Lot of 55 Graphic 80s 90s Band Movie 3D Emblem Sports,1070.0,2026-04-19,Pre-Owned,,harley,ebay
MENS LOT OF 67 HARLEY DAVIDSON T SHIRTS & VINTAGE Y2K BIKER STURGIS BLACK HILLS,616.99,2026-04-19,Pre-Owned,L,harley,ebay
